NAMESPACE         NAME                                                READY   STATUS             RESTARTS        AGE   IP                NODE       NOMINATED NODE   READINESS GATES
calico-system     calico-apiserver-6b45dffdc7-4478p                   1/1     Running            1 (23m ago)     24m   10.42.178.67      staging1   <none>           <none>
calico-system     calico-apiserver-6b45dffdc7-kcjgt                   1/1     Running            1 (23m ago)     24m   10.42.178.69      staging1   <none>           <none>
calico-system     calico-kube-controllers-6f66d84c98-b8z27            1/1     Running            0               24m   10.42.178.65      staging1   <none>           <none>
calico-system     calico-node-c46dc                                   1/1     Running            0               15m   100.120.105.144   staging3   <none>           <none>
calico-system     calico-node-jcf58                                   1/1     Running            0               24m   100.120.108.52    staging1   <none>           <none>
calico-system     calico-node-n97p4                                   1/1     Running            0               16m   100.120.13.164    worker     <none>           <none>
calico-system     calico-node-r9sz2                                   1/1     Running            0               15m   100.120.154.244   staging2   <none>           <none>
calico-system     calico-typha-565c488844-mzpsp                       1/1     Running            0               15m   100.120.154.244   staging2   <none>           <none>
calico-system     calico-typha-565c488844-r2gvm                       1/1     Running            0               24m   100.120.108.52    staging1   <none>           <none>
calico-system     csi-node-driver-s4wx5                               2/2     Running            0               15m   10.42.44.128      staging3   <none>           <none>
calico-system     csi-node-driver-x5wvl                               2/2     Running            0               16m   10.42.171.70      worker     <none>           <none>
calico-system     csi-node-driver-zn96r                               2/2     Running            0               24m   10.42.178.68      staging1   <none>           <none>
calico-system     csi-node-driver-zpx6p                               2/2     Running            0               15m   10.42.173.134     staging2   <none>           <none>
cert-manager      cert-manager-64d4848f5-b6wkg                        1/1     Running            0               17m   10.42.178.129     staging1   <none>           <none>
cert-manager      cert-manager-cainjector-57db9c77c6-qqzzg            1/1     Running            1 (16m ago)     17m   10.42.178.133     staging1   <none>           <none>
cert-manager      cert-manager-webhook-799b9c8765-p5jwm               1/1     Running            0               17m   10.42.178.131     staging1   <none>           <none>
cnpg-system       cnpg-cloudnative-pg-764c4f6887-lf8w4                1/1     Running            1 (18m ago)     19m   10.42.178.84      staging1   <none>           <none>
flux-system       helm-controller-7bc94d464-vcx8q                     1/1     Running            1 (16m ago)     17m   10.42.178.73      staging1   <none>           <none>
flux-system       image-automation-controller-7cbd769c98-jtwz7        1/1     Running            1 (16m ago)     17m   10.42.178.128     staging1   <none>           <none>
flux-system       image-reflector-controller-77cc5c6557-jmr7z         1/1     Running            1 (16m ago)     17m   10.42.178.134     staging1   <none>           <none>
flux-system       kustomize-controller-789449b5cd-67v8h               1/1     Running            1 (16m ago)     17m   10.42.178.104     staging1   <none>           <none>
flux-system       notification-controller-6875b94c58-qfttm            1/1     Running            1 (16m ago)     17m   10.42.178.130     staging1   <none>           <none>
flux-system       source-controller-b5b5ff975-qqdjd                   1/1     Running            1 (16m ago)     17m   10.42.178.94      staging1   <none>           <none>
ingress-nginx     ingress-external-ips-reconciler-29620060-dvpzj      0/1     Completed          0               58s   10.42.173.147     staging2   <none>           <none>
ingress-nginx     ingress-nginx-controller-2456z                      0/1     CrashLoopBackOff   7 (2m15s ago)   15m   100.120.13.164    worker     <none>           <none>
ingress-nginx     ingress-nginx-controller-47925                      1/1     Running            0               15m   100.120.154.244   staging2   <none>           <none>
ingress-nginx     ingress-nginx-controller-6cf5t                      1/1     Running            0               17m   100.120.108.52    staging1   <none>           <none>
ingress-nginx     ingress-nginx-controller-cg5ld                      1/1     Running            0               15m   100.120.105.144   staging3   <none>           <none>
kube-system       coredns-6fd66c7bf4-k8j9d                            1/1     Running            0               14m   10.42.44.138      staging3   <none>           <none>
kube-system       coredns-6fd66c7bf4-tcmkq                            1/1     Running            0               14m   10.42.44.139      staging3   <none>           <none>
