NAMESPACE         NAME                                                READY   STATUS                       RESTARTS          AGE     IP                NODE       NOMINATED NODE   READINESS GATES
calico-system     calico-apiserver-cdb95b7bf-pjfqq                    1/1     Running                      0                 132m    10.42.171.93      worker     <none>           <none>
calico-system     calico-apiserver-cdb95b7bf-sj5gp                    1/1     Running                      0                 132m    10.42.171.86      worker     <none>           <none>
calico-system     calico-kube-controllers-5b7888f9cb-ksczr            1/1     Running                      0                 132m    10.42.171.89      worker     <none>           <none>
calico-system     calico-node-4dck2                                   1/1     Running                      0                 12h     100.120.13.164    worker     <none>           <none>
calico-system     calico-node-9gxlq                                   1/1     Running                      0                 12h     100.120.95.182    staging    <none>           <none>
calico-system     calico-node-brv7t                                   1/1     Running                      0                 12h     100.120.184.126   staging3   <none>           <none>
calico-system     calico-node-v8rvq                                   1/1     Running                      0                 12h     100.120.21.104    staging2   <none>           <none>
calico-system     calico-typha-74f88f54cc-8v9lg                       1/1     Running                      0                 12h     100.120.21.104    staging2   <none>           <none>
calico-system     calico-typha-74f88f54cc-d9phc                       1/1     Running                      0                 19h     100.120.184.126   staging3   <none>           <none>
calico-system     csi-node-driver-fxrmx                               2/2     Running                      0                 19h     10.42.44.129      staging3   <none>           <none>
calico-system     csi-node-driver-mk48p                               2/2     Running                      0                 19h     10.42.171.68      worker     <none>           <none>
calico-system     csi-node-driver-rrsd9                               2/2     Running                      0                 19h     10.42.173.129     staging2   <none>           <none>
calico-system     csi-node-driver-t9xzp                               2/2     Running                      2 (13h ago)       19h     10.42.16.209      staging    <none>           <none>
cert-manager      cert-manager-64d4848f5-zvmkw                        1/1     Running                      0                 14h     10.42.173.166     staging2   <none>           <none>
cert-manager      cert-manager-cainjector-57db9c77c6-ccblh            1/1     Running                      0                 14h     10.42.173.169     staging2   <none>           <none>
cert-manager      cert-manager-webhook-799b9c8765-hdd7k               1/1     Running                      0                 14h     10.42.173.162     staging2   <none>           <none>
cnpg-system       cnpg-cloudnative-pg-764c4f6887-qvz9h                1/1     Running                      0                 132m    10.42.171.87      worker     <none>           <none>
default           node-debugger-staging-9j9jm                         0/1     Completed                    0                 84m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging-clrw9                         0/1     Completed                    0                 80m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging-kkr8z                         0/1     Completed                    0                 79m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging-npgq9                         0/1     Completed                    0                 79m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging-sw2x2                         0/1     Completed                    0                 80m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging-w2nk9                         0/1     Completed                    0                 78m     100.120.95.182    staging    <none>           <none>
default           node-debugger-staging2-5rlxh                        0/1     Completed                    0                 80m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-8t6tm                        0/1     Completed                    0                 78m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-d6ljq                        0/1     Completed                    0                 77m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-lbzjc                        0/1     Completed                    0                 80m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-mj7ck                        0/1     Completed                    0                 79m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-ngppt                        0/1     Completed                    0                 84m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-vcxm4                        0/1     Completed                    0                 77m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging2-zvtx9                        0/1     Completed                    0                 79m     100.120.21.104    staging2   <none>           <none>
default           node-debugger-staging3-2sm7t                        0/1     Completed                    0                 80m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-staging3-cjw6v                        0/1     Completed                    0                 80m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-staging3-dzz9q                        0/1     Completed                    0                 79m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-staging3-fcc6g                        0/1     Completed                    0                 78m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-staging3-nsw7k                        0/1     Completed                    0                 84m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-staging3-ntlnd                        0/1     Completed                    0                 79m     100.120.184.126   staging3   <none>           <none>
default           node-debugger-worker-5hmfk                          0/1     Completed                    0                 79m     100.120.13.164    worker     <none>           <none>
default           node-debugger-worker-lvv8w                          0/1     Completed                    0                 78m     100.120.13.164    worker     <none>           <none>
default           node-debugger-worker-pnlxf                          0/1     Completed                    0                 80m     100.120.13.164    worker     <none>           <none>
default           node-debugger-worker-r44wk                          0/1     Completed                    0                 80m     100.120.13.164    worker     <none>           <none>
default           node-debugger-worker-srsq9                          0/1     Completed                    0                 84m     100.120.13.164    worker     <none>           <none>
default           node-debugger-worker-t7m2k                          0/1     Completed                    0                 79m     100.120.13.164    worker     <none>           <none>
e2e-ingress       app2-74f85bb9cd-ct5dp                               1/1     Running                      0                 132m    10.42.171.82      worker     <none>           <none>
